Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD,Change,Hour,Weekday,Month,Volatility,CandleBodyRatio,Year
12/07/2018,BTCUSD,6182.99,6199.57,6173.5,6180.97,275.0,1700530.69,-0.0300000000,14:00,Thursday,July,0.0042164066,0.0774836977,2018
12/07/2018,BTCUSD,6180.31,6183.99,6170.99,6182.99,258.89,1599120.65,0.0400000000,13:00,Thursday,July,0.0021034544,0.2061538462,2018
12/07/2018,BTCUSD,6162.41,6191.99,6155,6180.31,246.37,1522744.15,0.2900000000,12:00,Thursday,July,0.0060025217,0.4839145715,2018
12/07/2018,BTCUSD,6175.18,6182.13,6144.35,6162.41,261.02,1608275.15,-0.2100000000,11:00,Thursday,July,0.0061180403,0.3380095289,2018
12/07/2018,BTCUSD,6185.82,6187.99,6157.03,6175.18,212.3,1310453.07,-0.1700000000,10:00,Thursday,July,0.0050049953,0.3436692506,2018
12/07/2018,BTCUSD,6200.82,6205,6175.01,6185.82,289.87,1794667.77,-0.2400000000,09:00,Thursday,July,0.0048364571,0.5001667222,2018
12/07/2018,BTCUSD,6180.5,6200.82,6085.59,6200.82,1090.25,6719480.12,0.3287759890,08:00,Thursday,July,0.0186441226,0.1763429662,2018
12/07/2018,BTCUSD,6217.63,6223.14,6131.35,6180.5,758.15,4677685.75,-0.5971728778,07:00,Thursday,July,0.0147628598,0.4045102952,2018
12/07/2018,BTCUSD,6329.57,6334.74,6177.45,6217.63,1211.64,7536289.75,-1.7700000000,06:00,Thursday,July,0.0248500293,0.7116790641,2018
12/07/2018,BTCUSD,6333.05,6335.55,6305,6329.57,130.84,827194.5,-0.0500000000,05:00,Thursday,July,0.0048239000,0.1139116203,2018
12/07/2018,BTCUSD,6339.5,6344.57,6328,6333.05,74.75,473450.28,-0.1017430397,04:00,Thursday,July,0.0026137708,0.3892576946,2018
12/07/2018,BTCUSD,6326.98,6343.22,6326.98,6339.5,58.62,371327.65,0.1978827181,03:00,Thursday,July,0.0025667854,0.7709359606,2018
12/07/2018,BTCUSD,6327.94,6348.45,6302.18,6326.98,162.37,1026431.72,-0.0200000000,02:00,Thursday,July,0.0073120162,0.0207477847,2018
12/07/2018,BTCUSD,6365.43,6371.8,6324.48,6327.94,141.3,896772.74,-0.5900000000,01:00,Thursday,July,0.0074339047,0.7922654269,2018
12/07/2018,BTCUSD,6380,6380,6347.72,6365.43,141.5,900280.85,-0.2283699060,00:00,Thursday,July,0.0050595611,0.4513630731,2018
11/07/2018,BTCUSD,6368.78,6381.25,6361.83,6380,124.55,793560.22,0.1761718885,23:00,Wednesday,July,0.0030492496,0.5777548919,2018
11/07/2018,BTCUSD,6361.93,6381.25,6356.74,6368.78,81.54,519278.69,0.1100000000,22:00,Wednesday,July,0.0038526045,0.2794777642,2018
11/07/2018,BTCUSD,6356.48,6378.47,6345,6361.93,259.1,1646353.87,0.0900000000,21:00,Wednesday,July,0.0052654929,0.1628323872,2018
